ID|CITY|COUN|SUBJ|SEX|AGE|RELI|PRAC|FOCC|MOCC|FIEL|EMOT|WHEN|LONG|INTS|ERGO|TROPHO|TEMPER|EXPRES|MOVE|EXP1|EXP2|EXP10|PARAL|CON|EXPC|PLEA|PLAN|FAIR|CAUS|COPING|MORL|SELF|RELA|VERBAL|NEUTRO|Field1|Field3|Field2|MYKEY|SIT|STATE|
11001|1|1|1|1|33|1|2|6|1|2|1|4|4|3|0|0|1|1|0|1|0|0|0|1|2|1|1|1|4|4|2|3|3|2|0|joy|4|3|0110011|During the period of falling in love, each time that we met and á especially when we had not met for a long time.|1|
11001|1|1|1|1|33|1|2|6|1|2|2|4|3|2|2|0|0|1|0|0|0|0|2|1|1|3|0|2|2|1|3|2|2|0|0|fear|3|2|0110012|When I was involved in a traffic accident.|1|
11001|1|1|1|1|33|1|2|6|1|2|3|4|1|3|0|0|0|2|0|0|0|0|1|1|1|3|3|0|3|1|2|2|1|0|0|anger|1|3|0110013|When I was driving home after  several days of hard work, there á was a motorist ahead of me who was driving at 50 km/hour and á refused, despite his low speeed to let me overtake.|1|
11001|1|1|1|1|33|1|2|6|1|2|4|4|4|4|1|1|0|1|0|0|1|0|1|2|1|3|3|3|3|5|0|1|1|0|2|sadness|4|4|0110014|When I lost the person who meant the most to me. |1|
11001|1|1|1|1|33|1|2|6|1|2|5|4|4|4|3|0|0|0|0|0|0|0|1|1|1|3|0|0|4|1|0|0|2|0|0|disgust|4|4|0110015|The time I knocked a deer down - the sight of the animal's á injuries and helplessness.  The realization that the animal was á so badly hurt that it had to be put down, and when the animal á screamed at the moment of death.|1|
11001|1|1|1|1|33|1|2|6|1|2|6|4|4|3|0|0|0|0|0|0|0|0|0|2|1|3|0|1|1|2|3|1|2|0|0|shame|4|3|0110016|When I did not speak the truth.|1|
11001|1|1|1|1|33|1|2|6|1|2|7|1|3|1|0|0|0|0|0|0|0|0|0|1|1|3|2|1|1|5|3|1|0|0|0|guilt|3|1|0110017|When I caused problems for somebody because he could not keep the á appointed time and this led to various consequences.|1|
11002|1|1|2|2|23|0|0|7|5|2|1|3|2|2|0|0|1|3|1|1|0|0|2|1|1|1|1|0|0|4|0|3|0|0|0|joy|2|2|0110021|When I got a letter offering me the Summer job that I had applied á for.  |1|
11002|1|1|2|2|23|0|0|7|5|2|2|4|3|3|2|0|1|0|1|0|0|0|0|3|2|3|0|0|0|3|0|2|0|0|0|fear|3|3|0110022|When I was going home alone one night in Paris and a man came up á behind me and asked me if I was not afraid to be out alone so á late at night.|1|
11002|1|1|2|2|23|0|0|7|5|2|3|3|3|4|2|0|0|2|0|0|0|1|2|1|1|2|3|0|2|1|3|2|1|3|0|anger|3|4|0110023|When I was talking to HIM at a party for the first time in a long while and a friend came and interrupted us and HE left.|1|
11002|1|1|2|2|23|0|0|7|5|2|4|3|4|4|0|2|0|1|0|0|0|0|0|3|2|3|3|3|2|3|3|1|1|0|2|sadness|4|4|0110024|When my friends did not ask me to go to a New Year's party á with them.|1|
11002|1|1|2|2|23|0|0|7|5|2|5|4|2|1|0|0|0|0|0|0|0|0|0|1|3|3|0|0|0|4|0|0|0|0|0|disgust|2|1|0110025|When I saw all the very drunk kids (13-14 years old) in town on á Walpurgis night.|1|
11002|1|1|2|2|23|0|0|7|5|2|6|1|1|2|3|0|2|2|1|1|0|0|0|3|3|3|2|1|1|2|0|1|2|0|0|shame|1|2|0110026|When I could not remember what to say about a presentation task á at an accounts meeting.|1|
11002|1|1|2|2|23|0|0|7|5|2|7|2|2|2|0|0|0|0|0|0|0|0|0|0|3|3|0|0|0|4|3|0|2|0|0|guilt|2|2|0110027|When my uncle and my neighbour came home under police escort.|1|
11003|1|1|3|2|22|8|2|4|6|2|1|1|3|3|0|0|2|1|1|1|0|0|2|1|0|1|1|0|0|5|1|3|3|3|0|joy|3|3|0110031|[ On days when I feel close to my partner and other friends.  á When I feel at peace with myself and also experience a close á contact with people whom I regard greatly.]|1|
11003|1|1|3|2|22|8|2|4|6|2|2|1|2|2|1|2|2|1|1|0|0|0|0|2|2|3|0|0|1|1|0|1|0|0|2|fear|2|2|0110032|Every time I imagine that someone I love or I could contact a á serious illness, even death.|1|
11003|1|1|3|2|22|8|2|4|6|2|3|3|4|4|4|1|0|2|0|0|1|0|2|2|1|3|3|3|2|1|0|1|1|2|2|anger|4|4|0110033|When I had been obviously unjustly treated and had no possibility á of elucidating this.|1|
11003|1|1|3|2|22|8|2|4|6|2|4|2|3|3|0|0|0|1|1|0|0|0|0|2|2|3|0|1|1|5|1|3|0|1|0|sadness|3|3|0110034|When I think about the short time that we live and relate it to á the periods of my life when I think that I did not use this á short time.|1|
11003|1|1|3|2|22|8|2|4|6|2|5|2|4|4|3|0|1|2|1|0|0|0|2|2|3|3|3|0|0|1|3|3|1|2|0|disgust|4|4|0110035|At a gathering I found myself involuntarily sitting next to two á people who expressed opinions that I considered very low and á discriminating.|1|
11003|1|1|3|2|22|8|2|4|6|2|6|1|3|2|2|1|0|2|0|0|1|0|2|2|2|3|3|0|1|5|3|1|1|3|2|shame|3|2|0110036|When I realized that I was directing the feelings of discontent á with myself at my partner and this way was trying to put the blame á on him instead of sorting out my own feeliings.|1|
11003|1|1|3|2|22|8|2|4|6|2|7|1|1|2|0|0|0|2|1|0|0|0|0|2|0|3|0|0|1|5|2|1|1|0|0|guilt|1|2|0110037|I feel guilty when when I realize that I consider material things á more important than caring for my relatives.  I feel very á self-centered.|1|
11004|1|1|4|1|23|8|2|6|4|2|1|1|3|3|0|0|1|1|0|1|0|0|0|1|2|1|1|0|2|4|1|3|3|3|0|joy|3|3|0110041|After my girlfriend had taken her exam we went to her parent's á place.|1|
11004|1|1|4|1|23|8|2|6|4|2|2|4|4|4|0|0|0|0|1|0|0|0|0|3|3|3|1|1|1|3|0|2|0|0|0|fear|4|4|0110042|When, for the first time I realized the meaning of death.|1|
11004|1|1|4|1|23|8|2|6|4|2|3|2|1|4|2|0|0|1|0|0|0|0|1|1|3|1|2|3|3|4|3|3|1|0|0|anger|1|4|0110043|When a car is overtaking another and I am forced to drive off the á road.|1|
11004|1|1|4|1|23|8|2|6|4|2|4|1|3|2|0|1|0|0|1|0|0|0|0|2|2|3|3|0|1|5|0|1|0|0|1|sadness|3|2|0110044|When I recently thought about the hard work it takes to study, and  á how one wants to try something else.  When I read a theoretical á book in English that I did not understand.|1|
11004|1|1|4|1|23|8|2|6|4|2|5|3|1|2|0|1|0|0|0|0|0|0|0|1|1|3|0|0|3|4|0|2|0|1|1|disgust|1|2|0110045|When I found a bristle in the liver paste tube.|1|
11004|1|1|4|1|23|8|2|6|4|2|6|1|1|1|0|0|0|0|1|0|0|0|0|2|1|3|2|3|1|5|1|2|2|0|0|shame|1|1|0110046|When I was tired and unmotivated, I shouted at my girlfriend and á and brought up negative sides of her character which are actually á not so important.|1|
11004|1|1|4|1|23|8|2|6|4|2|7|1|2|2|0|0|0|0|1|0|0|0|0|3|2|3|1|2|1|1|3|1|0|0|0|guilt|2|2|0110047|When I think that I do not study enough.  After the weekend I á think that I should have been able to have accomplished á something during that time.|1|
11005|1|1|5|2|22|1|1|7|6|2|1|3|3|3|1|0|0|3|1|1|0|0|1|1|1|1|1|1|1|4|1|3|2|3|0|joy|3|3|0110051|When I pass an examination which I did not think I did well.|1|
11005|1|1|5|2|22|1|1|7|6|2|2|3|1|2|1|0|2|1|0|0|0|0|1|1|2|3|2|2|4|3|0|2|2|0|0|fear|1|2|0110052|When one has arranged to meet someone and that person arrives á late, in the meantime one starts thinking about all that could á have gone wrong e.g a traffic accident.|1|
11005|1|1|5|2|22|1|1|7|6|2|3|4|1|3|1|0|2|2|0|0|1|0|0|2|1|3|2|3|2|5|2|2|1|0|1|anger|1|3|0110053|When one is unjustly accused of something one has not done.|1|
